p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,cateogory
0.06747671,0.0853431,0.04817875,0.0372639,0.04497919,0.07096647,0.07704695,0.04467844,0.05869174,0.04863442,0.04787895,0.02498808,0.05820068,0.0476533,0.05083979,long_blink
0.07096647,0.07704695,0.04467844,0.05869174,0.04863442,0.04787895,0.02498808,0.05820068,0.0476533,0.05083979,0.04132655,0.02897932,0.07152366,0.06423346,0.0346097,long_blink
0.04787895,0.02498808,0.05820068,0.0476533,0.05083979,0.04132655,0.02897932,0.07152366,0.06423346,0.0346097,0.09371,0.09902178,0.05540759,0.04368796,0.05881957,long_blink
0.04132655,0.02897932,0.07152366,0.06423346,0.0346097,0.09371,0.09902178,0.05540759,0.04368796,0.05881957,0.04923766,0.05724956,0.06611283,0.05341168,0.06761042,long_blink
0.09371,0.09902178,0.05540759,0.04368796,0.05881957,0.04923766,0.05724956,0.06611283,0.05341168,0.06761042,0.04949536,0.04799214,0.03839997,0.06246088,0.05705222,long_blink
0.04923766,0.05724956,0.06611283,0.05341168,0.06761042,0.04949536,0.04799214,0.03839997,0.06246088,0.05705222,0.04037269,0.05388887,0.06204811,0.05661144,0.03513497,long_blink
0.04949536,0.04799214,0.03839997,0.06246088,0.05705222,0.04037269,0.05388887,0.06204811,0.05661144,0.03513497,0.04384768,0.0636628,0.04607099,0.05274657,0.04166297,long_blink
0.04037269,0.05388887,0.06204811,0.05661144,0.03513497,0.04384768,0.0636628,0.04607099,0.05274657,0.04166297,0.08521048,0.06003391,0.05940488,0.04543769,0.04775425,long_blink
0.04384768,0.0636628,0.04607099,0.05274657,0.04166297,0.08521048,0.06003391,0.05940488,0.04543769,0.04775425,0.0331794,0.06092293,0.04415962,0.03903554,0.05988449,long_blink
0.08521048,0.06003391,0.05940488,0.04543769,0.04775425,0.0331794,0.06092293,0.04415962,0.03903554,0.05988449,0.06197138,0.09776693,0.0871776,0.05187965,0.08162885,long_blink
0.0331794,0.06092293,0.04415962,0.03903554,0.05988449,0.06197138,0.09776693,0.0871776,0.05187965,0.08162885,0.08884461,0.05050305,0.03183069,0.03446172,0.04736735,long_blink
